Rank, Title, CountryOfOrigin, StarRating, NumberOfChapters, ReleaseFrequency(Days), NumberOfReaders, NumberOfReviews, LastChapterDateOfPublication, Genres
#1,T*ash of the Count’s Family,KR,4.5,1101 Chapters,3.7,40397,604,02-25-2025,(Action Adventure Fantasy Martial Arts Seinen Supernatural)
#2,The Death Mage Who Doesn’t Want a Fourth Time,JP,4.1,488 Chapters,7.7,30350,349,02-12-2025,(Action Adventure Comedy Fantasy Harem Mature Psychological Seinen Supernatural Tragedy)
#3,Everyone Else is a Returnee,KR,4.3,0 Chapters,1488,30296,381,02-01-2021,(Completed Action Adventure Comedy Fantasy Harem Mystery Sci-fi Shounen Supernatural)
#4,Tsuki ga Michibiku Isekai Douchuu,JP,3.8,530 Chapters,67.6,28927,253,02-06-2024,(Action Adventure Comedy Drama Fantasy Harem Shounen)
#5,"Kumo Desu ga, Nani ka?",JP,4.4,764 Chapters,98.7,27831,215,01-30-2022,(Completed Action Adventure Comedy Drama Fantasy Mystery Shoujo Tragedy)
#6,Tensei Shitara Slime Datta Ken (WN),JP,4.2,443 Chapters,126.7,27203,97,08-21-2020,(Completed Action Adventure Comedy Fantasy Martial Arts Shounen)
#7,My Death Flags Show No Sign of Ending,JP,4.5,137 Chapters,109.5,27122,229,09-23-2024,(Action Adventure Drama Fantasy Mystery Romance Shounen)
#8,The Founder of Diabolism,CN,4.7,26 Chapters,7.5,27017,556,08-11-2019,(Completed Adventure Drama Mystery Romance Supernatural Xianxia Yaoi)
#9,The Scum Villain’s Self-Saving System,CN,4.3,3 Chapters,463.7,25594,488,06-25-2022,(Completed Action Adult Comedy Drama Mature Romance Xuanhuan Yaoi)
#10,Death March kara Hajimaru Isekai Kyusoukyoku (WN),JP,3.9,745 Chapters,33.9,25573,239,02-23-2025,(Action Adventure Comedy Fantasy Harem Shounen Slice of Life)
#11,Release that Witch,CN,4.5,695 Chapters,513.7,25129,362,09-25-2017,(Completed Action Adventure Comedy Fantasy Harem Mature Mystery Seinen Slice of Life Supernatural)
#12,Common Sense of a Duke’s Daughter,JP,4.5,416 Chapters,117.7,24749,195,06-23-2020,(Completed Drama Fantasy Romance Shoujo Slice of Life)
